name,title,level,facing,categories,description,detail,remediation,metadata,cache_key
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_conversations\` has a foreign key \`send_conversations_data_room_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_conversations"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_conversations_data_room_id_fkey"",""fkey_columns"":[4]}",unindexed_foreign_keys_public_send_conversations_send_conversations_data_room_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_conversations\` has a foreign key \`send_conversations_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_conversations"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_conversations_document_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_send_conversations_send_conversations_document_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_conversations\` has a foreign key \`send_conversations_link_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_conversations"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_conversations_link_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_send_conversations_send_conversations_link_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_custom_domains\` has a foreign key \`send_custom_domains_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_custom_domains"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_custom_domains_user_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_send_custom_domains_send_custom_domains_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_custom_field_responses\` has a foreign key \`send_custom_field_responses_view_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_custom_field_responses"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_custom_field_responses_view_id_fkey"",""fkey_columns"":[4]}",unindexed_foreign_keys_public_send_custom_field_responses_send_custom_field_responses_view_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_data_room_documents\` has a foreign key \`send_data_room_documents_data_room_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_data_room_documents"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_data_room_documents_data_room_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_send_data_room_documents_send_data_room_documents_data_room_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_data_room_documents\` has a foreign key \`send_data_room_documents_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_data_room_documents"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_data_room_documents_document_id_fkey"",""fkey_columns"":[3]}",unindexed_foreign_keys_public_send_data_room_documents_send_data_room_documents_document_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_data_rooms\` has a foreign key \`send_data_rooms_user_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_data_rooms"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_data_rooms_user_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_send_data_rooms_send_data_rooms_user_id_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_dataroom_viewer_group_members\` has a foreign key \`send_dataroom_viewer_group_members_added_by_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_dataroom_viewer_group_members"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_dataroom_viewer_group_members_added_by_fkey"",""fkey_columns"":[6]}",unindexed_foreign_keys_public_send_dataroom_viewer_group_members_send_dataroom_viewer_group_members_added_by_fkey
unindexed_foreign_keys,Unindexed foreign keys,INFO,EXTERNAL,"[""PERFORMANCE""]","Identifies foreign key constraints without a covering index, which can impact database performance.",Table \`public.send_document_feedback\` has a foreign key \`send_document_feedback_document_id_fkey\` without a covering index. This can lead to suboptimal query performance.,https://supabase.com/docs/guides/database/database-linter?lint=0001_unindexed_foreign_keys,"{""name"":""send_document_feedback"",""type"":""table"",""schema"":""public"",""fkey_name"":""send_document_feedback_document_id_fkey"",""fkey_columns"":[2]}",unindexed_foreign_keys_public_send_document_feedback_send_document_feedback_document_id_fkey
